pearson_r,target_positive_proportion,roc_auc,estimate__count__
0.04,0.75,203.44765450079936,392.0
0.04,0.8,176.73092631271743,340.0
0.04,0.85,183.528161814238,352.0
0.04,0.9,198.5002592288859,380.0
0.04,0.95,200.70861944087275,383.0
0.05,0.05,190.6261526510711,359.0
0.05,0.1,197.6667331699692,375.0
0.05,0.15,188.03022703019667,358.0
0.05,0.2,177.32501645313477,338.0
0.05,0.25,188.516879876444,360.0
0.05,0.3,183.8811703000385,351.0
0.05,0.35,186.71985376100884,357.0
0.05,0.4,173.99927551396448,333.0
0.05,0.45,192.93474244034743,369.0
0.05,0.5,183.26803113152968,351.0
0.05,0.55,192.80748821057185,369.0
0.05,0.6,190.64226139561896,365.0
0.05,0.65,208.6516930489016,399.0
0.05,0.7,196.2545306604682,375.0
0.05,0.75,192.8145062521241,368.0
0.05,0.8,186.12157657279627,355.0
0.05,0.85,185.1532159086919,352.0
0.05,0.9,177.7401899263412,337.0
0.05,0.95,185.7067803666838,350.0
0.06,0.05,178.82427147265767,333.0
0.06,0.1,178.82902091862388,335.0
0.06,0.15,196.23196931004816,370.0
0.06,0.2,178.62447425032167,337.0
0.06,0.25,186.69101442583323,353.0
0.06,0.3,173.82924195861392,329.0
0.06,0.35,187.23358473036964,355.0
0.06,0.4,175.01537368646407,332.0
0.06,0.45,199.65331713404584,379.0
0.06,0.5,177.52049494482563,337.0
0.06,0.55,201.34431063057085,382.0
0.06,0.6,189.96285287601447,360.0
0.06,0.65,170.57119769382,323.0
0.06,0.7,184.2556686788037,349.0
0.06,0.75,193.7126469341468,366.0
0.06,0.8,194.98737405238683,368.0
0.06,0.85,198.0109486934768,373.0
0.06,0.9,191.3577806193261,359.0
0.06,0.95,203.1936456715792,379.0
0.07,0.05,205.50417518896327,378.0
0.07,0.1,192.40236829637144,358.0
0.07,0.15,179.04077199263918,334.0
0.07,0.2,195.56873819229403,366.0
0.07,0.25,182.7313602368168,342.0
0.07,0.3,184.86682810679804,347.0
0.07,0.35,174.4346671107997,328.0
0.07,0.4,173.9289899723799,327.0
0.07,0.45,180.7655998446476,340.0
0.07,0.5,179.45217869314573,338.0
0.07,0.55,195.2297651752123,367.0
0.07,0.6,179.8225504275792,338.0
0.07,0.65,190.81641759635505,359.0
0.07,0.7,215.8869989684043,405.0
0.07,0.75,222.7615811508016,418.0
0.07,0.78,0.5405849655007786,0.0
0.07,0.8,181.06866939715653,339.0
0.07,0.85,198.74735455013976,371.0
0.07,0.9,186.5926804718757,347.0
0.07,0.95,192.52759014752465,355.0
0.07,0.99,0.5573055219997591,0.0
0.08,0.05,187.07769482201456,340.0
0.08,0.1,188.15997542376493,346.0
0.08,0.15,181.2859297694012,335.0
0.08,0.2,187.3594092314751,347.0
